r,time,x,y
25.89607048034668,0002-02-02 00:00:00,2397.3173828125,1715.4224853515625
22.866226196289062,0002-02-02 00:00:00,1622.943359375,1543.0484619140625
21.279085159301758,0002-02-02 00:00:00,1589.3687744140625,1147.3931884765625
22.96154022216797,0002-02-02 00:00:00,783.8320922851562,2082.77978515625
37.06247329711914,0002-02-02 00:00:00,2096.653564453125,1926.0166015625
36.39872741699219,0002-02-02 00:00:00,2698.151611328125,1058.684326171875
28.612232208251953,0002-02-02 00:00:00,2423.69580078125,1695.7154541015625
22.31899642944336,0002-02-02 00:00:00,1648.9954833984375,1528.5574951171875
23.653553009033203,0002-02-02 00:00:00,1614.646484375,1135.1959228515625
24.685956954956055,0002-02-02 00:00:00,2369.519287109375,2555.895751953125
23.072309494018555,0002-02-02 00:00:00,1855.038330078125,1965.658935546875
24.512514114379883,0002-02-02 00:00:00,1875.86474609375,1950.47265625
26.415573120117188,0002-02-02 00:00:01,2403.510986328125,1709.0618896484375
21.225570678710938,0002-02-02 00:00:01,1617.5316162109375,1536.86767578125
21.595306396484375,0002-02-02 00:00:01,1597.0892333984375,1145.3861083984375
33.00696563720703,0002-02-02 00:00:01,2696.976806640625,1057.6563720703125
24.388729095458984,0002-02-02 00:00:01,792.1219482421875,2080.804931640625
21.503494262695312,0002-02-02 00:00:01,2118.84765625,1922.249755859375
28.62399673461914,0002-02-02 00:00:01,2426.059326171875,1691.7855224609375
26.12106704711914,0002-02-02 00:00:01,2375.1484375,2549.947998046875
20.28382110595703,0002-02-02 00:00:01,2089.807373046875,2659.619873046875
20.4836368560791,0002-02-02 00:00:01,1858.8851318359375,1961.5684814453125
25.139856338500977,0002-02-02 00:00:02,2400.119873046875,1709.5673828125
23.756874084472656,0002-02-02 00:00:02,1616.718505859375,1530.1273193359375
32.503990173339844,0002-02-02 00:00:02,1612.84912109375,1140.09521484375
22.395776748657227,0002-02-02 00:00:02,792.7774658203125,2081.490966796875
38.74513626098633,0002-02-02 00:00:02,2696.600341796875,1056.1004638671875
21.798582077026367,0002-02-02 00:00:02,1642.7120361328125,1515.0516357421875
25.228992462158203,0002-02-02 00:00:02,2372.8486328125,2547.10302734375
21.262311935424805,0002-02-02 00:00:02,2085.765869140625,2658.014892578125
51.4818229675293,0002-02-02 00:00:02,2217.561767578125,2546.123046875
20.65764045715332,0002-02-02 00:00:02,1859.4881591796875,1958.108154296875
40.081695556640625,0002-02-02 00:00:02,2388.63671875,2583.791259765625
21.160888671875,0002-02-02 00:00:02,2131.498779296875,1921.65869140625
25.563159942626953,0002-02-02 00:00:03,2401.3232421875,1710.95068359375
24.205108642578125,0002-02-02 00:00:03,1605.85595703125,1525.447265625
30.319446563720703,0002-02-02 00:00:03,1632.003662109375,1132.4110107421875
22.289274215698242,0002-02-02 00:00:03,796.7908325195312,2097.12353515625
40.057708740234375,0002-02-02 00:00:03,2698.3291015625,1057.255126953125
27.008831024169922,0002-02-02 00:00:03,2425.48388671875,1692.74169921875
22.6456241607666,0002-02-02 00:00:03,1631.2044677734375,1510.7120361328125
26.342479705810547,0002-02-02 00:00:03,2373.9208984375,2551.638427734375
21.044620513916016,0002-02-02 00:00:03,2085.8916015625,2662.9765625
55.11579513549805,0002-02-02 00:00:03,2218.0888671875,2550.510986328125
22.10611915588379,0002-02-02 00:00:03,1858.1611328125,1961.2337646484375
21.51658821105957,0002-02-02 00:00:03,2138.824462890625,1927.5181884765625
26.499998092651367,0002-02-02 00:00:04,2397.328125,1712.657958984375
23.174983978271484,0002-02-02 00:00:04,1593.62060546875,1528.4404296875
30.288593292236328,0002-02-02 00:00:04,1643.1483154296875,1128.870361328125
38.06474685668945,0002-02-02 00:00:04,2697.22998046875,1056.089111328125
24.14692497253418,0002-02-02 00:00:04,799.4058837890625,2096.902099609375
26.462265014648438,0002-02-02 00:00:04,2422.878173828125,1693.5560302734375
25.189828872680664,0002-02-02 00:00:04,1618.8779296875,1514.64208984375
24.909812927246094,0002-02-02 00:00:04,2370.20166015625,2550.023193359375
21.188570022583008,0002-02-02 00:00:04,2082.86962890625,2661.42431640625
22.33122444152832,0002-02-02 00:00:04,2144.961181640625,1938.84619140625
53.798091888427734,0002-02-02 00:00:04,2214.626708984375,2548.7265625
24.314960479736328,0002-02-02 00:00:04,1859.352294921875,1961.537353515625
25.93974494934082,0002-02-02 00:00:05,2390.72216796875,1739.12841796875
23.170135498046875,0002-02-02 00:00:05,1590.7772216796875,1526.124755859375
24.52566146850586,0002-02-02 00:00:05,1658.8892822265625,1121.32177734375
40.299949645996094,0002-02-02 00:00:05,2698.68310546875,1056.239501953125
23.2252254486084,0002-02-02 00:00:05,809.0859375,2106.54296875
26.426111221313477,0002-02-02 00:00:05,2419.240234375,1717.408203125
26.622020721435547,0002-02-02 00:00:05,1615.040283203125,1513.0380859375
22.32615089416504,0002-02-02 00:00:05,2157.0224609375,1948.25732421875
26.17230224609375,0002-02-02 00:00:05,2373.638427734375,2550.72216796875
22.01081085205078,0002-02-02 00:00:05,2085.6162109375,2662.682861328125
59.21040344238281,0002-02-02 00:00:05,2218.448486328125,2549.76611328125
21.735673904418945,0002-02-02 00:00:05,1865.778564453125,1960.1119384765625
25.21683120727539,0002-02-02 00:00:06,2371.6865234375,1809.9779052734375
23.974599838256836,0002-02-02 00:00:06,1587.0782470703125,1519.13525390625
23.48518180847168,0002-02-02 00:00:06,1671.2835693359375,1114.0498046875
32.010780334472656,0002-02-02 00:00:06,2696.05419921875,1057.0426025390625
22.72698974609375,0002-02-02 00:00:06,809.6298828125,2107.52978515625
